Date, Open, High, Low, Close, Volume,Company
05/06/2020,115,115,114,115,2200,WTK
05/05/2020,115,115,115,115,600,WTK
04/30/2020,115,115,115,115,2400,WTK
04/29/2020,115,115,115,115,23400,WTK
04/28/2020,115,115,112,113,5300,WTK
04/27/2020,115,115,115,115,1400,WTK
04/24/2020,115,115,112,112.25,6400,WTK
04/23/2020,113,113,111.25,112.75,2000,WTK
04/22/2020,115,115,115,115,800,WTK
04/20/2020,115,115,115,115,4000,WTK
04/16/2020,115,115,115,115,900,WTK
04/15/2020,112,115,112,114.75,1800,WTK
04/14/2020,110,112,110,111,200,WTK
04/09/2020,106,106,106,106,500,WTK
04/08/2020,106,106,106,106,1000,WTK
